,Species,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
12,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.306, 8.652]","(-26.295, -25.834]"
13,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(190.0, 197.0]","(3550.0, 4050.0]",MALE,"(8.306, 8.652]","(-26.295, -25.834]"
14,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(197.0, 213.0]","(4050.0, 4750.0]",MALE,"(8.306, 8.652]","(-25.834, -25.081]"
15,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(3550.0, 4050.0]",FEMALE,"(8.306, 8.652]","(-26.295, -25.834]"
16,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
17,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(8.652, 9.141]","(-25.834, -25.081]"
18,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.306, 8.652]","(-25.834, -25.081]"
19,Adelie Penguin (Pygoscelis adeliae),"(44.45, 48.5]","(18.7, 21.5]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(8.652, 9.141]","(-25.081, -23.788]"
20,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-25.834, -25.081]"
21,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-25.081, -23.788]"
22,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(171.999, 190.0]","(3550.0, 4050.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
23,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(3550.0, 4050.0]",MALE,"(8.306, 8.652]","(-25.834, -25.081]"
24,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.834, -25.081]"
25,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(171.999, 190.0]","(3550.0, 4050.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
26,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",MALE,"(8.652, 9.141]","(-25.834, -25.081]"
27,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
28,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.306, 8.652]","(-25.834, -25.081]"
29,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(171.999, 190.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-25.834, -25.081]"
30,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.834, -25.081]"
31,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
32,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
33,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(171.999, 190.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-25.834, -25.081]"
34,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.834, -25.081]"
35,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
36,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(171.999, 190.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.834, -25.081]"
37,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
38,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
39,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(171.999, 190.0]","(4050.0, 4750.0]",MALE,"(8.306, 8.652]","(-26.295, -25.834]"
40,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
41,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(190.0, 197.0]","(3550.0, 4050.0]",MALE,"(8.306, 8.652]","(-26.295, -25.834]"
42,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
43,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
44,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
45,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(171.999, 190.0]","(4050.0, 4750.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
46,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(171.999, 190.0]","(2699.999, 3550.0]",MALE,"(8.306, 8.652]","(-26.295, -25.834]"
47,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(171.999, 190.0]","(2699.999, 3550.0]",,"(8.306, 8.652]","(-26.295, -25.834]"
48,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
49,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(8.652, 9.141]","(-25.834, -25.081]"
50,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.306, 8.652]","(-26.295, -25.834]"
51,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(171.999, 190.0]","(4050.0, 4750.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
52,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
53,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(197.0, 213.0]","(3550.0, 4050.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
54,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
55,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(190.0, 197.0]","(3550.0, 4050.0]",MALE,"(8.306, 8.652]","(-26.295, -25.834]"
56,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.306, 8.652]","(-26.295, -25.834]"
57,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(190.0, 197.0]","(3550.0, 4050.0]",MALE,"(8.306, 8.652]","(-26.295, -25.834]"
58,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-26.295, -25.834]"
59,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(190.0, 197.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-26.295, -25.834]"
60,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-27.02, -26.295]"
61,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(8.652, 9.141]","(-27.02, -26.295]"
62,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(3550.0, 4050.0]",FEMALE,"(8.306, 8.652]","(-26.295, -25.834]"
63,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(190.0, 197.0]","(3550.0, 4050.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
64,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.306, 8.652]","(-26.295, -25.834]"
65,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(190.0, 197.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-26.295, -25.834]"
66,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(8.306, 8.652]","(-26.295, -25.834]"
67,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(171.999, 190.0]","(4050.0, 4750.0]",MALE,"(8.652, 9.141]","(-25.834, -25.081]"
68,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.306, 8.652]","(-26.295, -25.834]"
69,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(197.0, 213.0]","(4050.0, 4750.0]",MALE,"(8.652, 9.141]","(-26.295, -25.834]"
70,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(171.999, 190.0]","(3550.0, 4050.0]",FEMALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
71,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(171.999, 190.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.834, -25.081]"
72,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(15.6, 17.3]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
73,Adelie Penguin (Pygoscelis adeliae),"(44.45, 48.5]","(18.7, 21.5]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
74,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(3550.0, 4050.0]",FEMALE,"(8.652, 9.141]","(-26.295, -25.834]"
75,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
76,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(15.6, 17.3]","(190.0, 197.0]","(3550.0, 4050.0]",FEMALE,"(8.306, 8.652]","(-26.295, -25.834]"
77,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(171.999, 190.0]","(3550.0, 4050.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
78,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
79,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(190.0, 197.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-25.834, -25.081]"
80,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
81,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(8.306, 8.652]","(-26.295, -25.834]"
82,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(171.999, 190.0]","(3550.0, 4050.0]",FEMALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
83,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(8.652, 9.141]","(-27.02, -26.295]"
84,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
85,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(190.0, 197.0]","(2699.999, 3550.0]",MALE,"(9.141, 10.025]","(-26.295, -25.834]"
86,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(171.999, 190.0]","(3550.0, 4050.0]",MALE,"(8.306, 8.652]","(-26.295, -25.834]"
87,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.306, 8.652]","(-26.295, -25.834]"
88,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(171.999, 190.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-26.295, -25.834]"
89,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(171.999, 190.0]","(3550.0, 4050.0]",FEMALE,"(8.306, 8.652]","(-26.295, -25.834]"
90,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(197.0, 213.0]","(2699.999, 3550.0]",FEMALE,"(8.306, 8.652]","(-26.295, -25.834]"
91,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(197.0, 213.0]","(4050.0, 4750.0]",MALE,"(8.652, 9.141]","(-26.295, -25.834]"
92,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
93,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(171.999, 190.0]","(4050.0, 4750.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
94,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-27.02, -26.295]"
95,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(197.0, 213.0]","(4050.0, 4750.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
96,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(3550.0, 4050.0]",FEMALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
97,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(8.306, 8.652]","(-26.295, -25.834]"
98,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-26.295, -25.834]"
99,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(8.652, 9.141]","(-26.295, -25.834]"
100,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(190.0, 197.0]","(3550.0, 4050.0]",FEMALE,"(8.652, 9.141]","(-26.295, -25.834]"
101,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(197.0, 213.0]","(4050.0, 4750.0]",MALE,"(8.652, 9.141]","(-27.02, -26.295]"
102,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-26.295, -25.834]"
103,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(171.999, 190.0]","(4050.0, 4750.0]",MALE,"(9.141, 10.025]","(-25.834, -25.081]"
104,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-26.295, -25.834]"
105,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(171.999, 190.0]","(2699.999, 3550.0]",MALE,"(8.652, 9.141]","(-25.834, -25.081]"
106,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(197.0, 213.0]","(3550.0, 4050.0]",FEMALE,"(8.652, 9.141]","(-27.02, -26.295]"
107,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(171.999, 190.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.834, -25.081]"
108,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.834, -25.081]"
109,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(190.0, 197.0]","(4750.0, 6300.0]",MALE,"(9.141, 10.025]","(-25.834, -25.081]"
110,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(197.0, 213.0]","(3550.0, 4050.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
111,Adelie Penguin (Pygoscelis adeliae),"(44.45, 48.5]","(18.7, 21.5]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(8.652, 9.141]","(-27.02, -26.295]"
112,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-26.295, -25.834]"
113,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(8.652, 9.141]","(-27.02, -26.295]"
114,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(190.0, 197.0]","(3550.0, 4050.0]",FEMALE,"(8.652, 9.141]","(-27.02, -26.295]"
115,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(8.652, 9.141]","(-27.02, -26.295]"
116,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.834, -25.081]"
117,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(197.0, 213.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-27.02, -26.295]"
118,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-25.081, -23.788]"
119,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",MALE,"(9.141, 10.025]","(-26.295, -25.834]"
120,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-26.295, -25.834]"
121,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(18.7, 21.5]","(197.0, 213.0]","(2699.999, 3550.0]",MALE,"(8.652, 9.141]","(-27.02, -26.295]"
122,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.834, -25.081]"
123,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(197.0, 213.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.834, -25.081]"
124,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-26.295, -25.834]"
125,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(197.0, 213.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.834, -25.081]"
126,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-26.295, -25.834]"
127,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(8.306, 8.652]","(-26.295, -25.834]"
128,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.834, -25.081]"
129,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(197.0, 213.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-26.295, -25.834]"
130,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-25.834, -25.081]"
131,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(190.0, 197.0]","(2699.999, 3550.0]",MALE,"(8.652, 9.141]","(-26.295, -25.834]"
132,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-25.834, -25.081]"
133,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(197.0, 213.0]","(4050.0, 4750.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
134,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-25.834, -25.081]"
135,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(171.999, 190.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-26.295, -25.834]"
